顧客ID,年齢,会員ランク,購入回数,累計購入金額,都道府県
C1000,25,ブロンズ,2,8000,東京都
C1001,34,シルバー,10,53500,大阪府
C1002,43,ゴールド,18,99000,愛知県
C1003,52,プラチナ,23,144500,福岡県
C1004,29,ブロンズ,3,10000,東京都
C1005,33,シルバー,11,55500,大阪府
C1006,42,ゴールド,16,101000,愛知県
C1007,51,プラチナ,24,143000,福岡県
C1008,28,ブロンズ,4,8500,東京都
C1009,37,シルバー,9,54000,大阪府
C1010,41,ゴールド,17,99500,愛知県
C1011,50,プラチナ,25,145000,福岡県
C1012,27,ブロンズ,2,10500,東京都
C1013,36,シルバー,10,56000,大阪府
C1014,45,ゴールド,18,98000,愛知県
C1015,49,プラチナ,23,143500,福岡県
C1016,26,ブロンズ,3,9000,東京都
C1017,35,シルバー,11,54500,大阪府
C1018,44,ゴールド,16,100000,愛知県
C1019,53,プラチナ,24,145500,福岡県
C1020,25,ブロンズ,4,11000,東京都
C1021,34,シルバー,9,53000,大阪府
C1022,43,ゴールド,17,98500,愛知県
C1023,52,プラチナ,25,144000,福岡県
C1024,29,ブロンズ,2,9500,東京都
C1025,33,シルバー,10,55000,大阪府
C1026,42,ゴールド,18,100500,愛知県
C1027,51,プラチナ,23,146000,福岡県
C1028,28,ブロンズ,3,8000,東京都
C1029,37,シルバー,11,53500,大阪府
C1030,41,ゴールド,16,99000,愛知県
C1031,50,プラチナ,24,144500,福岡県
C1032,27,ブロンズ,4,10000,東京都
C1033,36,シルバー,9,55500,大阪府
C1034,45,ゴールド,17,101000,愛知県
C1035,49,プラチナ,25,143000,福岡県
C1036,26,ブロンズ,2,8500,東京都
C1037,35,シルバー,10,54000,大阪府
C1038,44,ゴールド,18,99500,愛知県
C1039,53,プラチナ,23,145000,福岡県
C1040,25,ブロンズ,3,10500,東京都
C1041,34,シルバー,11,56000,大阪府
C1042,43,ゴールド,16,98000,愛知県
C1043,52,プラチナ,24,143500,福岡県
C1044,29,ブロンズ,4,9000,東京都
C1045,33,シルバー,9,54500,大阪府
C1046,42,ゴールド,17,100000,愛知県
C1047,51,プラチナ,25,145500,福岡県
C1048,28,ブロンズ,2,11000,東京都
C1049,37,シルバー,10,53000,大阪府
C1050,41,ゴールド,18,98500,愛知県
C1051,50,プラチナ,23,144000,福岡県
C1052,27,ブロンズ,3,9500,東京都
C1053,36,シルバー,11,55000,大阪府
C1054,45,ゴールド,16,100500,愛知県
C1055,49,プラチナ,24,146000,福岡県
C1056,26,ブロンズ,4,8000,東京都
C1057,35,シルバー,9,53500,大阪府
C1058,44,ゴールド,17,99000,愛知県
C1059,53,プラチナ,25,144500,福岡県
C1060,25,ブロンズ,2,10000,東京都
C1061,34,シルバー,10,55500,大阪府
C1062,43,ゴールド,18,101000,愛知県
C1063,52,プラチナ,23,143000,福岡県
C1064,29,ブロンズ,3,8500,東京都
C1065,33,シルバー,11,54000,大阪府
C1066,42,ゴールド,16,99500,愛知県
C1067,51,プラチナ,24,145000,福岡県
C1068,28,ブロンズ,4,10500,東京都
C1069,37,シルバー,9,56000,大阪府
C1070,41,ゴールド,17,98000,愛知県
C1071,50,プラチナ,25,143500,福岡県
C1072,27,ブロンズ,2,9000,東京都
C1073,36,シルバー,10,54500,大阪府
C1074,45,ゴールド,18,100000,愛知県
C1075,49,プラチナ,23,145500,福岡県
C1076,26,ブロンズ,3,11000,東京都
C1077,35,シルバー,11,53000,大阪府
C1078,44,ゴールド,16,98500,愛知県
C1079,53,プラチナ,24,144000,福岡県
C1080,25,ブロンズ,4,9500,東京都
C1081,34,シルバー,9,55000,大阪府
C1082,43,ゴールド,17,100500,愛知県
C1083,52,プラチナ,25,146000,福岡県
C1084,29,ブロンズ,2,8000,東京都
C1085,33,シルバー,10,53500,大阪府
C1086,42,ゴールド,18,99000,愛知県
C1087,51,プラチナ,23,144500,福岡県
C1088,28,ブロンズ,3,10000,東京都
C1089,37,シルバー,11,55500,大阪府
C1090,41,ゴールド,16,101000,愛知県
C1091,50,プラチナ,24,143000,福岡県
C1092,27,ブロンズ,4,8500,東京都
C1093,36,シルバー,9,54000,大阪府
C1094,45,ゴールド,17,99500,愛知県
C1095,49,プラチナ,25,145000,福岡県
C1096,26,ブロンズ,2,10500,東京都
C1097,35,シルバー,10,56000,大阪府
C1098,44,ゴールド,18,98000,愛知県
C1099,53,プラチナ,23,143500,福岡県
C1100,25,ブロンズ,3,9000,東京都
C1101,34,シルバー,11,54500,大阪府
C1102,43,ゴールド,16,100000,愛知県
C1103,52,プラチナ,24,145500,福岡県
C1104,29,ブロンズ,4,11000,東京都
C1105,33,シルバー,9,53000,大阪府
C1106,42,ゴールド,17,98500,愛知県
C1107,51,プラチナ,25,144000,福岡県
C1108,28,ブロンズ,2,9500,東京都
C1109,37,シルバー,10,55000,大阪府
C1110,41,ゴールド,18,100500,愛知県
C1111,50,プラチナ,23,146000,福岡県
C1112,27,ブロンズ,3,8000,東京都
C1113,36,シルバー,11,53500,大阪府
C1114,45,ゴールド,16,99000,愛知県
